"tahun","bulan","bln_thn","qty_pcs","berat_kg"
2024,January,Jan_24,100146,130498
2024,February,Feb_24,82972,116143
2024,March,Mar_24,56964,111633
2024,April,Apr_24,35534,77690
2024,May,May_24,32203,107257
2024,June,Jun_24,27891,112640
2024,July,Jul_24,33492,110111
2024,August,Aug_24,28444,153045
2024,September,Sep_24,26006,137914
2024,October,Oct_24,30793,164771
2024,November,Nov_24,26751,156974
2024,December,Dec_24,33077,109648
2025,January,Jan_25,31569,82823
2025,February,Feb_25,31448,111968
2025,March,Mar_25,34882,141131
2025,April,Apr_25,28662,89131
2025,May,May_25,31045,122083
2025,June,Jun_25,35176,105316
2025,July,Jul_25,35106,104762
2025,August,Aug_25,33156,97921
2025,September,Sep_25,37426,82714
